"id","session","timestamp","realm","success","input"
"67","d18b70460ca1","2023-12-24 02:38:50",NULL,"1","uname -s -v -n -r -m"
"68","8d302a6f7ae2","2023-12-24 02:38:55",NULL,"1","uname -s -v -n -r -m"
"69","e57b9937de97","2023-12-24 02:39:41",NULL,"1","uname -s -v -n -r -m"
"70","d271e7a82daa","2023-12-24 02:40:01",NULL,"1","uname -s -v -n -r -m"
"71","990759cbf2a4","2023-12-24 02:40:23",NULL,"1","uname -s -v -n -r -m"
"72","8cec50ce5d80","2023-12-24 02:40:28",NULL,"1","uname -s -v -n -r -m"
"73","66e68ab08eb1","2023-12-24 02:40:36",NULL,"1","uname -s -v -n -r -m"
"74","b129c5fa3735","2023-12-24 02:41:15",NULL,"1","uname -s -v -n -r -m"
"75","5a0ac7862bd7","2023-12-24 02:41:18",NULL,"1","uname -s -v -n -r -m"
"76","ba81667c2713","2023-12-24 02:41:27",NULL,"1","uname -s -v -n -r -m"
"77","89d6a1530817","2023-12-24 02:41:40",NULL,"1","uname -s -v -n -r -m"
"78","cb8094c36d6a","2023-12-24 02:41:47",NULL,"1","uname -s -v -n -r -m"
"79","9cc18dd86ff3","2023-12-24 02:42:09",NULL,"1","uname -s -v -n -r -m"
"80","44e7dc4d848b","2023-12-24 02:42:55",NULL,"1","uname -s -v -n -r -m"
"81","664a65b1f776","2023-12-24 02:43:20",NULL,"1","uname -s -v -n -r -m"
"82","cb6a9eb27d66","2023-12-24 02:48:20",NULL,"1","uname -s -v -n -r -m"
"83","44f86f5ae30d","2023-12-24 03:50:06",NULL,"1","uname -s -v -n -r -m"
"84","35758e886a5e","2023-12-24 04:06:41",NULL,"1","uname -s -v -n -r -m"
"85","12d747635dd6","2023-12-24 04:12:15",NULL,"1","uname -s -v -n -r -m"
"86","4192cb88a8dc","2023-12-24 04:17:47",NULL,"1","uname -s -v -n -r -m"
"87","e68335af89f7","2023-12-24 04:23:20",NULL,"1","uname -s -v -n -r -m"
"88","073603b49236","2023-12-24 04:34:25",NULL,"1","uname -s -v -n -r -m"
"89","1a2f3a4c6883","2023-12-24 04:45:29",NULL,"1","uname -s -v -n -r -m"
"90","b21928ec60e6","2023-12-24 04:51:02",NULL,"1","uname -s -v -n -r -m"
"91","8d02fae12e3b","2023-12-24 05:02:07",NULL,"1","uname -s -v -n -r -m"
"92","52a2071029f9","2023-12-24 05:07:40",NULL,"1","uname -s -v -n -r -m"
"93","28da80ea5eea","2023-12-24 05:18:46",NULL,"1","uname -s -v -n -r -m"
"94","046e53e3471c","2023-12-24 05:28:03",NULL,"1","uname -s -m"
"95","60a0ef0765fa","2023-12-24 05:35:25",NULL,"1","uname -s -v -n -r -m"
"96","63ba9422a1eb","2023-12-24 05:40:58",NULL,"1","uname -s -v -n -r -m"
"97","cb4615d92dc6","2023-12-24 05:46:31",NULL,"1","uname -s -v -n -r -m"
"98","c1186838164d","2023-12-24 05:48:24",NULL,"1","uname -s -v -n -r -m"
"99","f8998ca423f3","2023-12-24 05:52:04",NULL,"1","uname -s -v -n -r -m"
"100","4756fa421a7f","2023-12-24 05:57:37",NULL,"1","uname -s -v -n -r -m"
"101","bd96e2a2a700","2023-12-24 06:14:15",NULL,"1","uname -s -v -n -r -m"
"102","cdf06bc128ca","2023-12-24 06:19:49",NULL,"1","uname -s -v -n -r -m"
"103","9bcf14138b18","2023-12-24 06:25:22",NULL,"1","uname -s -v -n -r -m"
